ILCE_UAVT,ILCE_ADI,ADI,ALT_KATEGORI,ADRES,TELEFON,WEBSITESI,ACIL_SERVIS,YATAK,AMBULANS,MAHALLE,ENLEM,BOYLAM
1186,BEYOĞLU,Özel Öztürk Protez Ortez Uygulama Merkezi,Protez-Ortez Yapım ve Uygulama Merkezi Özel,Kalyoncu Kulluğu Cad. No:23 KALYONCU KULLUĞU/BEYOĞLU,0212 255 47 58 - 0536 850 60 31,www.ozturkortopedi.com,,,,KALYONCU KULLUĞU,41.03678441000005,28.976899675000027
2005,BAHÇELİEVLER,Diş Hekimi Hakan Gürsoy,Muayenehane,Mimar Sinan Cad. No:109 CUMHURİYET/BAHÇELİEVLER,0212 435 80 23,,,,,CUMHURİYET,41.014560000000074,28.857394000000056
2003,AVCILAR,Özel Umut Tıbbi Tahlil Laboratuvarı,Laboratuvar Özel,Reşit Paşa Cad. No:45 MERKEZ/AVCILAR,0212 593 53 23,www.umutlab.com,,,,MERKEZ,40.97941396400006,28.723535406000053
2005,BAHÇELİEVLER,Diş Hekimi Gülsüm Özsağdıç,Muayenehane,Mustafa Kemalpaşa Cad. No:2 SİYAVUŞPAŞA/BAHÇELİEVLER,0212 556 12 85,,,,,SİYAVUŞPAŞA,41.00436300200005,28.85252371400003
1663,ŞİŞLİ,Özel Açık Emar Görüntüleme Merkezi,Görüntüleme Merkezi Özel,Abdi İpekçi Cad. No:40 HARBİYE/ŞİŞLİ,0212 234 58 89,,,,,HARBİYE,41.048415755000065,28.992806769000026
1604,SARIYER,Diş Hekimi Hamit Şevket İnce,Muayenehane,Kekik Sk. No:13 MERKEZ/SARIYER,0212 242 33 98,,,,,SARIYER MERKEZ,41.16953285200003,29.055919798000048
1663,ŞİŞLİ,Özel MediLab Laboratuvarı,Laboratuvar Özel,Büyükdere Cad. No:1 19 MAYIS/ŞİŞLİ,0212 296 12 96,www.medilab.com.tr,,,,19 MAYIS,41.06193760300005,28.989103987000078
1183,BEŞİKTAŞ,Özel Estethica Levent Hastanesi,Özel Hastane,Yenisülün Sk. No:13 LEVENT/BEŞİKTAŞ,0212 371 45 60,www.estethica.com.tr,Var,0,Yok,LEVENT,41.086068139000076,29.017860733000077
1183,BEŞİKTAŞ,Adnan Ezen Optik,Optik,Ortabahçe Cad. No:42 SİNANPAŞA/BEŞİKTAŞ,0212 261 73 65,,,,,SİNANPAŞA,41.04346723200007,29.003813885000056
1336,GAZİOSMANPAŞA,Yücel Optik,Optik,Cumhuriyet Meydanı No:10 MERKEZ/GAZİOSMANPAŞA,0212 545 06 65,,,,,MERKEZ,41.058907832000045,28.913147741000046
1336,GAZİOSMANPAŞA,Akay Optik,Optik,759. Sk. No:4I FEVZİ ÇAKMAK/GAZİOSMANPAŞA,0212 649 27 07,,,,,FEVZİ ÇAKMAK,41.07311761400007,28.903067949000047
1336,GAZİOSMANPAŞA,Gaziosmanpaşa Taksim Eğitim ve Araştırma Hastanesi Aliya İzzetbegoviç Semt Polikliniği,Poliklinik,Salihpaşa Cad. No:40-42B MERKEZ/GAZİOSMANPAŞA,0212 252 63 00,www.taksimhastanesi.gov.tr,Yok,0,,MERKEZ,41.05625857200005,28.91223575300006
1823,KÜÇÜKÇEKMECE,Küçükçekmece 3 Nolu Acil Yardım İstasyonu,Acil Yardım İstasyonu,Hakan Cad. No:44 İNÖNÜ/KÜÇÜKÇEKMECE,0212 548 77 82,www.istanbulsaglik.gov.tr,Yok,3,Var,İNÖNÜ,41.02600321500006,28.797325414000056
1708,ÜSKÜDAR,İstanbul Sultan Abdülhamid Eğitim ve Araştırma Hastanesi Diyaliz Merkezi ve Periton Merkezi,Diyaliz Merkezi,Burhan Felek Cad. No:20 SELİMİYE/ÜSKÜDAR,0216 542 20 20,www.gata.edu.tr,Var,,Var,SELİMİYE,41.00196609900007,29.020020055000032
1708,ÜSKÜDAR,Mehmet Orhan Erdağ Aile Sağlığı Merkezi,Aile Sağlığı Merkezi,Yurtsever Sk. No:4 BULGURLU/ÜSKÜDAR,0216 505 99 30,,Yok,0,,BULGURLU,41.02164463200006,29.08057568600003
1708,ÜSKÜDAR,Dr. Siyami Ersek Göğüs ve Kalp Damar Cerrahisi Eğitim ve Araştırma Hastanesi,Eğitim Araştırma Hastanesi,Tıbbiye Cad. No:25/2 SELİMİYE/ÜSKÜDAR,0216 542 44 44,www.siyamiersek.gov.tr,Var,464,Yok,SELİMİYE,41.00379663700005,29.023411190000047
1421,KADIKÖY,Özel Unimed Polikliniği,Poliklinik Özel,Bağdat Cad. No:2 CADDEBOSTAN/KADIKÖY,0216 359 12 01,www.unimed.gen.tr,Yok,0,,CADDEBOSTAN,40.969571631000065,29.064196835000075
1183,BEŞİKTAŞ,Ada Veteriner Kliniği,Veteriner,Sülün Sk. No:14 LEVENT/BEŞİKTAŞ,0212 324 67 32 - 33,www.adaveteriner.com,,0,Yok,LEVENT,41.07735656500006,29.019492709000076
1183,BEŞİKTAŞ,Sarıyer 3 Nolu Acil Yardım İstasyonu,Acil Yardım İstasyonu,Şehitlikdergahı Sk. No:36D BEBEK/BEŞİKTAŞ,112,www.istanbulsaglik.gov.tr,Yok,3,Var,BEBEK,41.08408200000008,29.05340700100004
1810,KAĞITHANE,Turgay Optik,Optik,Sultan Selim Cad. No:30 SULTAN SELİM/KAĞITHANE,0212 268 74 68,,,,,SULTAN SELİM,41.09069466100004,29.00313668700005
1327,FATİH,Özel Redline Kardiyoloji Merkezi,Klinikler,Turgut Özal Millet Cad. No:113 ŞEHREMİNİ/FATİH,0212 587 78 78,www.redlinekardiyoloji.com,,0,Yok,ŞEHREMİNİ,41.01454560800005,28.934171528000036
1663,ŞİŞLİ,Özel Anatomica Tıp Merkezi,Tıp Merkezi Özel,Mevlüt Pehlivan Sk. No:19 FULYA/ŞİŞLİ,0212 217 50 00,www.anatomica.com.tr,Var,7,Yok,FULYA,41.063890522000065,29.001126182000064
1327,FATİH,Özel Onur Ağız ve Diş Sağlığı Polikliniği,Özel Ağız Diş Sağlığı Merkezleri,Mıhçılar Cad. No:58 ZEYREK/FATİH,0212 523 81 92,,,,,ZEYREK,41.01898874400007,28.95295015100004
